Gene,Non-unique Gene name,Annotation,GCA_053309155.1,GCA_053309175.1,GCA_053309195.1,GCA_053309215.1,GCA_054952405.1,GCA_054952445.1,GCA_054952645.1,GCA_055485485.1,GCA_055485515.1,GCA_055721525.1,GCA_055721545.1,GCA_055721565.1,GCA_055721585.1,GCA_055721605.1,GCA_055721625.1,GCA_055721645.1,GCA_055721665.1,GCA_055721685.1,GCA_055721705.1,GCA_060056565.1,GCA_060056645.1
ribX_1~~~ribX_2,ribX_1;;ribX_2,Riboflavin transport system permease protein RibX;hypothetical protein,PGEOLOLO_02387;PGEOLOLO_02386,MKEIHBDH_00649,AEDCGGIJ_02547,FPEEIIMM_02595;FPEEIIMM_02594,DEGACDFD_02485,MHALECEH_04521,OGHMHICF_03852;OGHMHICF_03853,JLBILKMH_02483,MCHNEBJF_02483,HOLFJHIJ_04682,ALMEEEHM_02408,BFKKNDMN_03106;BFKKNDMN_03105,BOEGCKIF_04474,AONLONOO_01286,KAONMONA_04104,JBBCKIFO_00510,PCAPKKMB_02631,PJHHOHPP_04583,EGDJDACD_03385,DOCONFGL_03798,PNJFOIHC_02698
glaR_1~~~glaR_2~~~glaR,glaR_1;glaR_2;glaR,HTH-type transcriptional repressor GlaR,PGEOLOLO_00827,MKEIHBDH_02298,AEDCGGIJ_00912,FPEEIIMM_00976,DEGACDFD_00876,MHALECEH_02775,OGHMHICF_02230,JLBILKMH_04287,MCHNEBJF_04292,HOLFJHIJ_02936;HOLFJHIJ_02935,ALMEEEHM_03874,BFKKNDMN_04660,BOEGCKIF_02906,AONLONOO_02844,KAONMONA_02446,JBBCKIFO_02117,PCAPKKMB_01003,PJHHOHPP_02943,EGDJDACD_05002,DOCONFGL_00277,PNJFOIHC_01002
group_4675,crgA_3;,HTH-type transcriptional regulator CrgA;HTH-type transcriptional regulator,PGEOLOLO_01970,MKEIHBDH_01064,AEDCGGIJ_02149,FPEEIIMM_02189,DEGACDFD_02074,MHALECEH_04024,OGHMHICF_03427,JLBILKMH_02962,MCHNEBJF_02965,HOLFJHIJ_04208,ALMEEEHM_02724,BFKKNDMN_03522,BOEGCKIF_04055,AONLONOO_01703,KAONMONA_03684,JBBCKIFO_00940,PCAPKKMB_02214,PJHHOHPP_04182,EGDJDACD_03835,DOCONFGL_04282,PNJFOIHC_02209
fabD_2,fabD_2,Malonyl CoA-acyl carrier protein transacylase,PGEOLOLO_02125,MKEIHBDH_00901,AEDCGGIJ_02309,FPEEIIMM_02343,DEGACDFD_02235,MHALECEH_04237,OGHMHICF_03592,JLBILKMH_02746,MCHNEBJF_02748,HOLFJHIJ_04423,ALMEEEHM_02147,BFKKNDMN_03367,BOEGCKIF_04212,AONLONOO_01548,KAONMONA_03848,JBBCKIFO_00779,PCAPKKMB_02385,PJHHOHPP_04345,EGDJDACD_03669,DOCONFGL_04063,PNJFOIHC_02429
moaF,moaF,Protein MoaF,PGEOLOLO_01098,MKEIHBDH_01943,AEDCGGIJ_01270,FPEEIIMM_01320,DEGACDFD_01184,MHALECEH_03151,OGHMHICF_02514,JLBILKMH_04001,MCHNEBJF_04004,HOLFJHIJ_03289,ALMEEEHM_03600,BFKKNDMN_04389,BOEGCKIF_03180,AONLONOO_02570,KAONMONA_02802,JBBCKIFO_01815,PCAPKKMB_01295,PJHHOHPP_03302,EGDJDACD_04710,DOCONFGL_05190,PNJFOIHC_01288
cusF_1~~~cusF,cusF_1;cusF,Cation efflux system protein CusF,PGEOLOLO_00460,MKEIHBDH_02706,AEDCGGIJ_00542,FPEEIIMM_00583,DEGACDFD_00509,MHALECEH_02401,OGHMHICF_01841,JLBILKMH_04675,MCHNEBJF_04680,HOLFJHIJ_02550,ALMEEEHM_04246,BFKKNDMN_00011,BOEGCKIF_02539,AONLONOO_03214,KAONMONA_02039,JBBCKIFO_02493,PCAPKKMB_00612,PJHHOHPP_02573,EGDJDACD_00349,DOCONFGL_00661,PNJFOIHC_00617
group_4655,,hypothetical protein,PGEOLOLO_02870;PGEOLOLO_02869,MKEIHBDH_00189,AEDCGGIJ_03027,FPEEIIMM_03040,DEGACDFD_02950,MHALECEH_04995,OGHMHICF_04341,JLBILKMH_02019,MCHNEBJF_02019,HOLFJHIJ_05137,ALMEEEHM_01825;ALMEEEHM_01826,BFKKNDMN_02621;BFKKNDMN_02622,BOEGCKIF_04959;BOEGCKIF_04958,AONLONOO_00862;AONLONOO_00861,KAONMONA_04565,JBBCKIFO_00022,PCAPKKMB_03089,PJHHOHPP_05063;PJHHOHPP_05064,EGDJDACD_02918,DOCONFGL_03334,PNJFOIHC_03165
group_4654,,hypothetical protein,PGEOLOLO_04951,MKEIHBDH_03243,AEDCGGIJ_05199,FPEEIIMM_00033,DEGACDFD_05008,MHALECEH_01880,OGHMHICF_01290,JLBILKMH_05205,MCHNEBJF_05210,HOLFJHIJ_02037,ALMEEEHM_04775,BFKKNDMN_00530,BOEGCKIF_02020,AONLONOO_03737,KAONMONA_01497,JBBCKIFO_03020,PCAPKKMB_00041,PJHHOHPP_01972,EGDJDACD_00894,DOCONFGL_01189,PNJFOIHC_00087
ugpC_1,ugpC_1,sn-glycerol-3-phosphate import ATP-binding protein UgpC,PGEOLOLO_00410,MKEIHBDH_02761,AEDCGGIJ_00490,FPEEIIMM_00517,DEGACDFD_00407,MHALECEH_02348,OGHMHICF_01781,JLBILKMH_04721,MCHNEBJF_04726,HOLFJHIJ_02516,ALMEEEHM_04300,BFKKNDMN_00061,BOEGCKIF_02489,AONLONOO_03265,KAONMONA_01987,JBBCKIFO_02540,PCAPKKMB_00521,PJHHOHPP_02520,EGDJDACD_00414,DOCONFGL_00705,PNJFOIHC_00570
group_4652,,hypothetical protein;HTH-type transcriptional regulator,PGEOLOLO_03114;PGEOLOLO_03115,MKEIHBDH_00010,AEDCGGIJ_03278,FPEEIIMM_03283,DEGACDFD_03156,MHALECEH_05865;MHALECEH_05864,OGHMHICF_04542,JLBILKMH_01839,MCHNEBJF_01839,HOLFJHIJ_00211,ALMEEEHM_01525;ALMEEEHM_01524,BFKKNDMN_02374;BFKKNDMN_02375,BOEGCKIF_00119;BOEGCKIF_00118,AONLONOO_00614;AONLONOO_00615,KAONMONA_04742,JBBCKIFO_04899;JBBCKIFO_04898,PCAPKKMB_03319,PJHHOHPP_00052,EGDJDACD_02722,DOCONFGL_03179,PNJFOIHC_03347
clcD,;clcD,hypothetical protein;Carboxymethylenebutenolidase,PGEOLOLO_00070,MKEIHBDH_03116,AEDCGGIJ_00070,FPEEIIMM_00160,DEGACDFD_00070,MHALECEH_02007,OGHMHICF_01420,JLBILKMH_05078,MCHNEBJF_05083,HOLFJHIJ_02169,ALMEEEHM_04646;ALMEEEHM_04645,BFKKNDMN_00402,BOEGCKIF_02148,AONLONOO_03610,KAONMONA_01625,JBBCKIFO_02891;JBBCKIFO_02890,PCAPKKMB_00169,PJHHOHPP_02099,EGDJDACD_00767,DOCONFGL_01062,PNJFOIHC_00214
group_4650,,hypothetical protein,PGEOLOLO_00441,MKEIHBDH_02727,AEDCGGIJ_00523,FPEEIIMM_00564,DEGACDFD_00490,MHALECEH_02382,OGHMHICF_01822,JLBILKMH_04694,MCHNEBJF_04699,HOLFJHIJ_02531,ALMEEEHM_04266,BFKKNDMN_00030,BOEGCKIF_02520,AONLONOO_03234,KAONMONA_02018,JBBCKIFO_02512,PCAPKKMB_00593,PJHHOHPP_02554,EGDJDACD_00368,DOCONFGL_00680,PNJFOIHC_00598
vgrG2b_2~~~vgrG2b_1~~~vgrG2b~~~vgrG2b_4,vgrG2b_2;vgrG2b_1;vgrG2b;vgrG2b_4,Type VI secretion system spike protein VgrG2b,PGEOLOLO_01981,MKEIHBDH_01053,AEDCGGIJ_02160,FPEEIIMM_02200,DEGACDFD_02086,MHALECEH_04035,OGHMHICF_03439,JLBILKMH_02894,MCHNEBJF_02896,HOLFJHIJ_04270,ALMEEEHM_02713,BFKKNDMN_03511,BOEGCKIF_04066,AONLONOO_01692,KAONMONA_03695,JBBCKIFO_00929,PCAPKKMB_02225,PJHHOHPP_04193,EGDJDACD_03818,DOCONFGL_04211,PNJFOIHC_02281
group_4645,,hypothetical protein,PGEOLOLO_02439,MKEIHBDH_00595,AEDCGGIJ_02604,FPEEIIMM_02642,DEGACDFD_02541,MHALECEH_04467,OGHMHICF_03907,JLBILKMH_02428,MCHNEBJF_02428,HOLFJHIJ_04727,ALMEEEHM_02461,BFKKNDMN_03051,BOEGCKIF_04526,AONLONOO_01232,KAONMONA_04158,JBBCKIFO_00458,PCAPKKMB_02681,PJHHOHPP_04640,EGDJDACD_03338,DOCONFGL_03743,PNJFOIHC_02752
mutS_2~~~mutS_1~~~mutS,mutS_2;mutS_1;mutS,DNA mismatch repair protein MutS,PGEOLOLO_03844,MKEIHBDH_04364,AEDCGGIJ_04134,FPEEIIMM_03944,DEGACDFD_03925,MHALECEH_00745,OGHMHICF_00175,JLBILKMH_01091,MCHNEBJF_01091,HOLFJHIJ_00949,ALMEEEHM_00761,BFKKNDMN_01641,BOEGCKIF_00901,AONLONOO_04844,KAONMONA_00365,JBBCKIFO_04160;JBBCKIFO_04161,PCAPKKMB_04010,PJHHOHPP_00909,EGDJDACD_02033,DOCONFGL_02360,PNJFOIHC_04129
rhaS_5~~~rhaS_3,;rhaS_5;rhaS_3,hypothetical protein;HTH-type transcriptional activator RhaS,PGEOLOLO_02184,MKEIHBDH_00842,AEDCGGIJ_02369,FPEEIIMM_02404,DEGACDFD_02295,MHALECEH_04726,OGHMHICF_03653,JLBILKMH_02683;JLBILKMH_02684,MCHNEBJF_02685;MCHNEBJF_02686,HOLFJHIJ_04482,ALMEEEHM_02207,BFKKNDMN_03308,BOEGCKIF_04271,AONLONOO_01488,KAONMONA_03908,JBBCKIFO_00716,PCAPKKMB_02445,PJHHOHPP_04405,EGDJDACD_03609,DOCONFGL_04002,PNJFOIHC_02494
chiA1,;chiA1,hypothetical protein;Chitinase A1,PGEOLOLO_01831,MKEIHBDH_01201,AEDCGGIJ_02020,FPEEIIMM_02068,DEGACDFD_01929,MHALECEH_03882,OGHMHICF_03220,JLBILKMH_03133,MCHNEBJF_03136,HOLFJHIJ_04022,ALMEEEHM_02869,BFKKNDMN_03661,BOEGCKIF_03915,AONLONOO_01841,KAONMONA_03549,JBBCKIFO_01079,PCAPKKMB_02024,PJHHOHPP_04051,EGDJDACD_03965;EGDJDACD_03964,DOCONFGL_04447,PNJFOIHC_02036
sufA,sufA,Iron-sulfur cluster assembly protein SufA,PGEOLOLO_02752,MKEIHBDH_00302,AEDCGGIJ_02913,FPEEIIMM_02928,DEGACDFD_02836,MHALECEH_04881,OGHMHICF_04226,JLBILKMH_02132,MCHNEBJF_02132,HOLFJHIJ_05025,ALMEEEHM_01942,BFKKNDMN_02737,BOEGCKIF_04840,AONLONOO_00977,KAONMONA_04451,JBBCKIFO_00136,PCAPKKMB_02977,PJHHOHPP_04950,EGDJDACD_03032,DOCONFGL_03446,PNJFOIHC_03050
iolS_1~~~yajO_4,;iolS_1;yajO_4,hypothetical protein;Aldo-keto reductase IolS;1-deoxyxylulose-5-phosphate synthase YajO,PGEOLOLO_02305;PGEOLOLO_02304,MKEIHBDH_00728;MKEIHBDH_00729,AEDCGGIJ_02480;AEDCGGIJ_02479,FPEEIIMM_02507;FPEEIIMM_02506,DEGACDFD_02401;DEGACDFD_02400,MHALECEH_04607;MHALECEH_04606,OGHMHICF_03757,JLBILKMH_02570,MCHNEBJF_02571;MCHNEBJF_02572,HOLFJHIJ_04596;HOLFJHIJ_04595,ALMEEEHM_02327;ALMEEEHM_02326,BFKKNDMN_03187;BFKKNDMN_03188,BOEGCKIF_04393;BOEGCKIF_04392,AONLONOO_01368;AONLONOO_01367,KAONMONA_04025;KAONMONA_04024,JBBCKIFO_00598;JBBCKIFO_00597,PCAPKKMB_02559;PCAPKKMB_02560,PJHHOHPP_04515;PJHHOHPP_04516,EGDJDACD_03467;EGDJDACD_03468,DOCONFGL_03887;DOCONFGL_03886,PNJFOIHC_02609;PNJFOIHC_02608
group_4638,,Lactonase drp35,PGEOLOLO_02303,MKEIHBDH_00730,AEDCGGIJ_02478,FPEEIIMM_02505,DEGACDFD_02399,MHALECEH_04608,OGHMHICF_03756,JLBILKMH_02571;JLBILKMH_02572,MCHNEBJF_02574;MCHNEBJF_02573,HOLFJHIJ_04594,ALMEEEHM_02325,BFKKNDMN_03189,BOEGCKIF_04391,AONLONOO_01369,KAONMONA_04023,JBBCKIFO_00599,PCAPKKMB_02558,PJHHOHPP_04514,EGDJDACD_03469,DOCONFGL_03888;DOCONFGL_03889,PNJFOIHC_02606;PNJFOIHC_02607
group_4634,,hypothetical protein,PGEOLOLO_00210,MKEIHBDH_02973,AEDCGGIJ_00268,FPEEIIMM_00309,DEGACDFD_00210,MHALECEH_02148,OGHMHICF_01562,JLBILKMH_04929,MCHNEBJF_04934,HOLFJHIJ_02312,ALMEEEHM_04504,BFKKNDMN_00261,BOEGCKIF_02289,AONLONOO_03467,KAONMONA_01772,JBBCKIFO_02744,PCAPKKMB_00316,PJHHOHPP_02297,EGDJDACD_00623,DOCONFGL_00913,PNJFOIHC_00362
treA,treA,Periplasmic trehalase,PGEOLOLO_02913,MKEIHBDH_00151,AEDCGGIJ_03065,FPEEIIMM_03076,DEGACDFD_02991,MHALECEH_05731,OGHMHICF_04365,JLBILKMH_01972,MCHNEBJF_01972,HOLFJHIJ_00024,ALMEEEHM_01782,BFKKNDMN_02576,BOEGCKIF_05001,AONLONOO_00819,KAONMONA_04604,JBBCKIFO_05032,PCAPKKMB_03138,PJHHOHPP_05102,EGDJDACD_02860,DOCONFGL_03312,PNJFOIHC_03214
manP~~~manP_2,manP;manP_2,PTS system mannose-specific EIIBCA component,PGEOLOLO_02331,MKEIHBDH_00702,AEDCGGIJ_02490,FPEEIIMM_02534,DEGACDFD_02428,MHALECEH_04580,OGHMHICF_03792,JLBILKMH_02541,MCHNEBJF_02541,HOLFJHIJ_04622,ALMEEEHM_02353,BFKKNDMN_03161,BOEGCKIF_04419,AONLONOO_01341,KAONMONA_04051,JBBCKIFO_00568,PCAPKKMB_02570,PJHHOHPP_04526,EGDJDACD_03440,DOCONFGL_03856,PNJFOIHC_02639
glvR_2,glvR_2;,HTH-type transcriptional regulator GlvR;hypothetical protein,PGEOLOLO_04769,MKEIHBDH_03422,AEDCGGIJ_05019,FPEEIIMM_04848,DEGACDFD_04829,MHALECEH_01707,OGHMHICF_01109,JLBILKMH_00095,MCHNEBJF_00095,HOLFJHIJ_01864,ALMEEEHM_04964,BFKKNDMN_00713,BOEGCKIF_01837,AONLONOO_03924,KAONMONA_01316,JBBCKIFO_03194,PCAPKKMB_04960,PJHHOHPP_01793,EGDJDACD_01077,DOCONFGL_01367,PNJFOIHC_05166
glnQ_5~~~glnQ_4,;glnQ_5;glnQ_4,hypothetical protein;Glutamine transport ATP-binding protein GlnQ,PGEOLOLO_02708,MKEIHBDH_00346,AEDCGGIJ_02863,FPEEIIMM_02884,DEGACDFD_02792,MHALECEH_04837,OGHMHICF_04176,JLBILKMH_02176,MCHNEBJF_02176,HOLFJHIJ_04980,ALMEEEHM_01986,BFKKNDMN_02781,BOEGCKIF_04796,AONLONOO_01021,KAONMONA_04405,JBBCKIFO_00180,PCAPKKMB_02933,PJHHOHPP_04900,EGDJDACD_03079,DOCONFGL_03490,PNJFOIHC_03004
yfiH,yfiH,Purine nucleoside phosphorylase YfiH,PGEOLOLO_03684,MKEIHBDH_04533,AEDCGGIJ_03909,FPEEIIMM_03768,DEGACDFD_03744,MHALECEH_00520,OGHMHICF_00006,JLBILKMH_01269,MCHNEBJF_01269,HOLFJHIJ_00780,ALMEEEHM_00922,BFKKNDMN_01801,BOEGCKIF_00741,AONLONOO_05005,KAONMONA_00192,JBBCKIFO_04326,PCAPKKMB_03853,PJHHOHPP_00684,EGDJDACD_02196,DOCONFGL_02596,PNJFOIHC_03924
glnH_3,;glnH_3,hypothetical protein;Glutamine-binding periplasmic protein,PGEOLOLO_02710,MKEIHBDH_00344,AEDCGGIJ_02871,FPEEIIMM_02886,DEGACDFD_02794,MHALECEH_04839,OGHMHICF_04184,JLBILKMH_02174,MCHNEBJF_02174,HOLFJHIJ_04982,ALMEEEHM_01984,BFKKNDMN_02779,BOEGCKIF_04798,AONLONOO_01019,KAONMONA_04407,JBBCKIFO_00178,PCAPKKMB_02935,PJHHOHPP_04908,EGDJDACD_03077,DOCONFGL_03488,PNJFOIHC_03006
mrcB_1~~~mrcB_2~~~mrcB,mrcB_1;mrcB_2;mrcB,Penicillin-binding protein 1B,PGEOLOLO_00737,MKEIHBDH_02400,AEDCGGIJ_00818,FPEEIIMM_00886,DEGACDFD_00787,MHALECEH_02685,OGHMHICF_02139,JLBILKMH_04380,MCHNEBJF_04385,HOLFJHIJ_02844,ALMEEEHM_03965;ALMEEEHM_03964,BFKKNDMN_04750,BOEGCKIF_02816,AONLONOO_02934,KAONMONA_02345,JBBCKIFO_02207,PCAPKKMB_00914,PJHHOHPP_02849,EGDJDACD_00056,DOCONFGL_00367,PNJFOIHC_00911
molB,;molB,hypothetical protein;Molybdate import system permease protein MolB,PGEOLOLO_02736,MKEIHBDH_00318,AEDCGGIJ_02897,FPEEIIMM_02912,DEGACDFD_02820,MHALECEH_04865,OGHMHICF_04210,JLBILKMH_02148,MCHNEBJF_02148,HOLFJHIJ_05009,ALMEEEHM_01958,BFKKNDMN_02753,BOEGCKIF_04824,AONLONOO_00993,KAONMONA_04435,JBBCKIFO_00152,PCAPKKMB_02961,PJHHOHPP_04934,EGDJDACD_03049;EGDJDACD_03048,DOCONFGL_03462,PNJFOIHC_03032
molA_2~~~molA_1~~~molA,molA_2;molA_1;molA,Molybdate-binding protein MolA,PGEOLOLO_02735,MKEIHBDH_00319,AEDCGGIJ_02896,FPEEIIMM_02911,DEGACDFD_02819,MHALECEH_04864,OGHMHICF_04209,JLBILKMH_02149,MCHNEBJF_02149,HOLFJHIJ_05008,ALMEEEHM_01959,BFKKNDMN_02754,BOEGCKIF_04823,AONLONOO_00994,KAONMONA_04434;KAONMONA_04433,JBBCKIFO_00153,PCAPKKMB_02960,PJHHOHPP_04933,EGDJDACD_03050,DOCONFGL_03463,PNJFOIHC_03031
group_4628,,hypothetical protein,PGEOLOLO_03131,MKEIHBDH_05083,AEDCGGIJ_03339,FPEEIIMM_03298,DEGACDFD_03274,MHALECEH_00051,OGHMHICF_04558,JLBILKMH_01789,MCHNEBJF_01788,HOLFJHIJ_00264,ALMEEEHM_01462,BFKKNDMN_02358,BOEGCKIF_00178,AONLONOO_00555,KAONMONA_04758,JBBCKIFO_04800,PCAPKKMB_03335,PJHHOHPP_00113,EGDJDACD_02666,DOCONFGL_03127,PNJFOIHC_03398
